mission,obj_id,star_id,label_raw,period_days,epoch_bjd,dur_hrs,depth_ppm,rp_re,teq_k,st_teff_k,st_logg_cgs,st_rad_rsun,st_mass_msun,label
kepler,K00752.01,10797460,CONFIRMED,9.48803557,2455003.53875,2.9575,615.8,2.26,793.0,5455.0,4.467,0.927,0.919,1.0
kepler,K00752.02,10797460,CONFIRMED,54.4183827,2454995.51384,4.507,874.8,2.83,443.0,5455.0,4.467,0.927,0.919,1.0
kepler,K00754.01,10848459,FALSE POSITIVE,1.736952453,2455003.307565,2.40641,8079.2,33.46,1395.0,5805.0,4.564,0.791,0.836,0.0
kepler,K00755.01,10854555,CONFIRMED,2.525591777,2455004.59555,1.6545,603.3,2.75,1406.0,6031.0,4.438,1.046,1.095,1.0
kepler,K00756.01,10872983,CONFIRMED,11.09432054,2455004.20116,4.5945,1517.5,3.9,835.0,6046.0,4.486,0.972,1.053,1.0
kepler,K00756.02,10872983,CONFIRMED,4.13443512,2455005.97937,3.1402,686.0,2.77,1160.0,6046.0,4.486,0.972,1.053,1.0
kepler,K00756.03,10872983,CONFIRMED,2.56658897,2455012.55437,2.429,226.5,1.59,1360.0,6046.0,4.486,0.972,1.053,1.0
kepler,K00114.01,6721123,FALSE POSITIVE,7.36178958,2454965.25053,5.022,233.7,39.21,1342.0,6227.0,3.986,1.958,1.358,0.0
kepler,K00757.01,10910878,CONFIRMED,16.06864674,2455006.621937,3.5347,4914.3,5.76,600.0,5031.0,4.485,0.848,0.801,1.0
kepler,K00001.01,11446443,CONFIRMED,2.470613377,2454955.763305,1.74319,14230.9,13.04,1339.0,5820.0,4.457,0.964,0.971,1.0
kepler,K00002.01,10666592,CONFIRMED,2.204735417,2454954.3585417,3.88864,6674.7,16.1,2048.0,6440.0,4.019,1.952,1.449,1.0
kepler,K00010.01,6922244,CONFIRMED,3.522498429,2454954.1194228,3.19843,9145.7,14.59,1521.0,6225.0,4.169,1.451,1.132,1.0
kepler,K00112.02,10984090,CONFIRMED,3.709214104,2454966.98318,2.6302,131.1,1.16,1206.0,5833.0,4.407,1.022,0.974,1.0
kepler,K00742.01,10419211,FALSE POSITIVE,11.521446064,2455003.839688,3.6399,17984.3,150.51,753.0,5795.0,4.554,0.848,0.938,0.0
kepler,K00743.01,10464078,FALSE POSITIVE,19.40393776,2455005.484253,12.2155,8918.7,7.18,523.0,5043.0,4.591,0.68,0.657,0.0
kepler,K00744.01,10480982,FALSE POSITIVE,19.221388942,2455017.5521637,4.79843,74284.0,49.29,698.0,6117.0,4.496,0.947,1.025,0.0
kepler,K00745.01,10485250,FALSE POSITIVE,16.46983774,2455013.881761,9.4378,10478.9,7.94,595.0,5152.0,4.517,0.786,0.741,0.0
