kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass
10797460,K00752.01,CONFIRMED,9.48803557,170.53875,2.9575,615.8,2.26,793.0,5455.0,4.467,0.927,0.919
10797460,K00752.02,CONFIRMED,54.4183827,162.51384,4.507,874.8,2.83,443.0,5455.0,4.467,0.927,0.919
10811496,K00753.01,CANDIDATE,19.89913995,175.850252,1.7822,10829.0,14.6,638.0,5853.0,4.544,0.868,0.961
10848459,K00754.01,FALSE POSITIVE,1.736952453,170.307565,2.40641,8079.2,33.46,1395.0,5805.0,4.564,0.791,0.836
10854555,K00755.01,CONFIRMED,2.525591777,171.59555,1.6545,603.3,2.75,1406.0,6031.0,4.438,1.046,1.095
10872983,K00756.01,CONFIRMED,11.09432054,171.20116,4.5945,1517.5,3.9,835.0,6046.0,4.486,0.972,1.053
10872983,K00756.02,CONFIRMED,4.13443512,172.97937,3.1402,686.0,2.77,1160.0,6046.0,4.486,0.972,1.053
10872983,K00756.03,CONFIRMED,2.56658897,179.55437,2.429,226.5,1.59,1360.0,6046.0,4.486,0.972,1.053
6721123,K00114.01,FALSE POSITIVE,7.36178958,132.25053,5.022,233.7,39.21,1342.0,6227.0,3.986,1.958,1.358
10910878,K00757.01,CONFIRMED,16.06864674,173.621937,3.5347,4914.3,5.76,600.0,5031.0,4.485,0.848,0.801
11446443,K00001.01,CONFIRMED,2.470613377,122.763305,1.74319,14230.9,13.04,1339.0,5820.0,4.457,0.964,0.971
10666592,K00002.01,CONFIRMED,2.204735417,121.3585417,3.88864,6674.7,16.1,2048.0,6440.0,4.019,1.952,1.449
6922244,K00010.01,CONFIRMED,3.522498429,121.1194228,3.19843,9145.7,14.59,1521.0,6225.0,4.169,1.451,1.132
10984090,K00112.02,CONFIRMED,3.709214104,133.98318,2.6302,131.1,1.16,1206.0,5833.0,4.407,1.022,0.974
10419211,K00742.01,FALSE POSITIVE,11.521446064,170.839688,3.6399,17984.3,150.51,753.0,5795.0,4.554,0.848,0.938
