mission,obj_id,star_id,label_raw,period_days,epoch_bjd,dur_hrs,depth_ppm,rp_re,teq_k,st_teff_k,st_logg_cgs,st_rad_rsun,st_mass_msun,label
tess,1049.01,16288184,KP,2.1805277,2459363.821393,2.969175,16340.1353205,16.808853,1654.404068,6599.0,4.21017,1.2714601,,1
tess,105.01,144065872,KP,2.1846669,2459084.58501,2.86528,11708.0228549,13.7028527,1549.4409801,5630.0,4.37759,1.23824,,1
tess,1050.01,66818296,KP,3.7354838,2459355.54563,4.142,17030.0,21.2315,1670.0,6650.0,4.1639,1.57,,1
tess,1051.01,259863352,FA,21.701669,2458657.736625,8.2676424,211.6567325,2.3751494,685.2,5625.0,4.438,1.56486,,0
tess,1052.01,317060587,CP,9.139804,2458332.941229,3.0912936,358.4157801,3.0629855,1006.9932829,5958.2,4.34,1.58,,1
tess,1053.01,112395568,FP,5.742625,2458657.999179,2.860293,1105.760867,13.088532,,5664.0,3.26574,3.86959,,0
tess,1054.01,366989877,CP,15.5077855,2460122.700139,4.565,513.0,2.43432,853.0,6122.0,4.30881,1.17,,1
tess,1055.01,320004517,CP,17.4713078,2458661.062711,4.4284819,1199.7541483,3.5766828,689.3568807,5783.54,4.49925,0.974669,,1
tess,1056.01,421894914,PC,5.3079507,2458326.062424,3.2158594,391.3830934,3.0486928,1263.9861129,6124.3,4.38,1.36963,,1
tess,1057.01,323132914,PC,51.1701501,2458607.350901,6.6641048,851.4547808,2.9366826,466.7322968,5599.0,4.46138,0.943356,,1
tess,1058.01,31553893,PC,11.1296441,2458663.023129,7.0473822,951.6169809,12.8402271,1518.2372485,5785.0,4.344,3.4475601,,1
tess,1059.01,380783252,PC,9.4496506,2460106.337519,2.021,19750.0,17.0216,694.0,5509.0,4.39758,0.94,,1
tess,106.01,38846515,KP,2.8493825,2460201.638583,3.567,8049.0,16.3869,1864.0,6900.0,4.438,1.77,,1
tess,1060.01,101230735,APC,2.0685633,2460149.536226,0.373,502.0,3.89739,619.0,5687.9,4.6,1.14,,0
tess,1061.01,253990973,FP,0.540933,2458654.253249,1.674337,257.347459,2.28501,,5525.0,4.25342,1.21935,,0
tess,1062.01,299799658,CP,4.1150576,2460177.200429,1.08,487.0,2.30057,826.0,5394.0,4.50942,0.89,,1
tess,1063.01,406976746,PC,10.0665238,2458629.391681,2.4023189,839.9044871,2.7272824,694.1792631,5552.0,4.61783,0.791742,,1
tess,1064.01,79748331,CP,6.4438657,2458656.668478,1.9309449,1121.9512275,2.460344,712.2812841,4803.0,4.52079,0.737189,,1
tess,1064.02,79748331,CP,12.2265595,2458664.490132,2.1904379,1206.3693293,2.6014766,575.3502049,4803.0,4.52079,0.737189,,1
tess,1065.01,7088246,KP,2.160344,2458654.347994,1.828854,19357.992992,22.503541,,5780.0,4.32928,1.2,,1
tess,1066.01,201604954,KP,4.606184,2458657.832537,3.121643,13793.034867,12.962219,,5670.0,4.3925,1.07,,1
tess,1067.01,201642601,KP,3.1316735,2458656.987874,2.4579197,14915.6943722,9.4995191,890.5622134,4351.0,4.438,0.76701,,1
tess,1068.01,6663331,KP,3.180362,2458656.633231,2.111521,21192.463324,13.446487,,5498.0,4.47934,0.92,,1
tess,1069.01,31858843,KP,2.9776446,2460147.378764,2.962,13022.0,14.4339,1461.0,5703.0,4.25824,1.22,,1
tess,107.01,92352620,KP,3.9502008,2460176.993334,4.444,13914.0,20.5357,1570.0,6153.0,4.18077,1.71,,1
tess,1070.01,31858844,FP,2.9776152,2458655.579241,3.25697,43218.111683,26.88423,1386.5,5740.0,4.29219,1.28,,0
tess,1071.01,120247528,KP,3.5544026,2458655.394059,2.0550535,10164.8753396,13.200677,1214.9876435,5639.0,4.37172,1.11499,,1
tess,1072.01,140830390,FP,12.8379689,2459211.732146,9.8464123,10539.0192794,25.4886382,1225.0,5765.0,4.34773,2.4494,,0
tess,1073.01,158297421,CP,3.9228016,2459036.472812,1.8736007,31510.9004906,13.3368705,788.0973496,4444.0,4.438,0.6983,,1
tess,1074.01,327301957,PC,13.9428705,2458662.652685,3.7522756,1015.395543,2.4233421,587.1759148,5206.0,4.63095,0.741671,,1
tess,1075.01,351601843,CP,0.6047392,2458654.249503,1.0403847,1027.6833479,1.8625587,1222.5973095,4046.0,4.60963,0.580337,,1
tess,1076.01,360742636,KP,2.5495611,2458654.163257,2.6173308,14921.4021936,12.9171288,1337.8645148,5659.0,4.44653,1.03997,,1
tess,1077.01,369960846,PC,1.6062693,2458654.102739,1.9561305,16725.3019333,12.6436029,1374.8018137,5192.0,4.4617,0.984326,,1
tess,1078.01,370133522,CP,0.5182425,2458654.10332,0.8565249,831.8920424,1.3485121,1019.3295979,3325.0,4.88693,0.390989,,1
tess,1000.01,50365310,FP,2.1713484,2459229.630046,2.0172196,656.8860989,5.8181633,3127.2040524,10249.0,4.19,2.16986,,0
tess,1001.01,88863718,PC,1.9316462,2459987.948873,3.166,1286.0,11.2154,4045.0,7070.0,4.03,2.01,,1
tess,1002.01,124709665,FP,1.8675574,2459224.687802,1.408,1500.0,23.7529,2037.0,8924.0,,5.73,,0
tess,1003.01,106997505,FP,2.74323,2458493.3957,3.167,383.41,,1631.0,5388.5,4.15,,,0
tess,1004.01,238597883,FP,3.5730141,2459987.047262,3.37,755.0,11.3113,4260.0,9219.0,4.14,2.15,,0
tess,1005.01,169904935,FP,4.5505945,2459985.156855,2.654,3731.0,7.10841,1257.0,5613.0,,1.09,,0
tess,1006.01,156115721,FP,2.5047918,2459229.984579,4.3797563,2270.5402194,8.6950898,1649.8220699,6616.0,,1.53429,,0
tess,1007.01,65212867,PC,6.9989206,2459247.930695,3.953,2840.0,14.7752,1282.0,6596.0,3.71,2.7,,1
tess,1008.01,440801822,FP,2.0483755,2460258.236122,2.767,483.0,3.19621,,6858.5,4.2,1.57,,0
tess,1009.01,107782586,PC,1.9600277,2459229.230924,2.0065257,1707.6272693,,1456.4246534,8868.7,,,,1
tess,101.01,231663901,KP,1.4303699,2458326.009117,1.6165994,18960.7122944,13.1874503,1525.9048089,5600.0,4.48851,0.890774,,1
tess,1010.01,139853601,FP,0.6808702,2459228.878101,2.4634563,1507.8006889,5.9115908,4382.0266062,9438.0,,1.0,,0
tess,1011.01,114018671,PC,2.4704981,2459984.627768,2.191,250.0,1.44656,1364.0,5413.7,4.46,0.94,,1
tess,1012.01,427508467,APC,0.884182,2459252.509595,1.621,1890.0,24.8132,5098.0,8928.0,3.92,2.72,,0
tess,1013.01,97700520,FP,5.4255548,2459232.248322,3.9637474,14939.6342222,,1037.2753045,8868.7,,,,0
tess,1014.01,96246348,FP,1.4095184,2459985.657041,0.9484999,2841.5103258,,1625.6180218,9307.0,,,,0
tess,1015.01,155044736,FP,1.3730466,2459963.610065,2.5708515,1301.5065338,42.1479417,1912.3318636,4897.0,,6.7996101,,0
tess,1016.01,175310067,FP,12.6889415,2459238.831138,7.9201001,3232.8527885,14.0608342,1158.1310368,7601.0,4.31,1.53641,,0
tess,1017.01,182943944,FP,1.10422,2458518.96536,2.37,14177.7,21.0448,3926.0,6995.2,4.07,1.61,,0
tess,1018.01,291555748,FP,4.95912,2458492.78078,2.509,7440.0,22.9123,1419.0,5889.0,3.86,2.0,,0
tess,1019.01,341420329,PC,5.2341008,2459232.446864,3.7078139,20796.9416293,24.2931408,1574.8381848,7645.0,4.3,1.56203,,1
tess,102.01,149603524,KP,4.4119378,2460187.916571,3.65,15062.0,15.4706,1408.0,6280.0,4.32092,1.21,,1
tess,1020.01,140706664,FP,3.28892,2458521.29108,3.793,10518.9,,3661.0,8734.2,4.1,,,0
tess,1021.01,143994283,FP,1.90879,2458492.90429,1.909,618.482,3.34688,1561.0,6022.6,4.52,1.22,,0
tess,1022.01,47384844,FA,3.09574,2458547.448,4.475,380.0,3.4262,3230.0,6084.0,4.13,1.41,,0
tess,1023.01,238374636,FP,1.3214483,2459303.303969,3.435,2180.0,21.8839,3827.0,5050.8,3.56,2.99,,0
tess,1024.01,141482386,FP,18.0157,2458339.72276,2.524,610.0,21.644,463.0,4709.0,,7.61,,0
tess,1025.01,297967252,PC,9.6837921,2458545.149804,2.4006056,4238.2399008,,1914.698926,8598.7,,,,1
tess,1026.01,388624270,FP,14.2628757,2460720.807674,6.9350494,913.2067174,2.4765813,980.3628831,5690.0,4.58,0.853898,,0
tess,1027.01,20318757,PC,3.2834565,2460037.86905,1.537,1558.0,2.87648,992.0,4272.0,4.6,0.68,,1
tess,1027.02,20318757,PC,11.02875,2460032.53325,2.715,1694.0,2.76586,548.0,4272.0,4.6,0.68,,1
tess,1027.03,20318757,PC,5.0113292,2460032.57304,1.024,1210.0,2.52314,567.0,4272.0,4.6,0.68,,1
tess,1028.01,447283466,FP,1.01606,2458544.48066,2.843,240.0,1.20704,2023.0,4634.0,4.64,0.68,,0
tess,1029.01,374908020,FP,36.22214,2458365.89313,5.107,7170.0,,,,,,,0
tess,103.01,336732616,KP,3.547854,2458327.25256,3.494333,10424.3718,14.581841,1504.858953,6351.0,4.22896,1.4,,1
tess,1030.01,464296022,FP,12.1246519,2460054.783937,4.612,7279.0,17.6729,1057.0,4807.6,4.17,1.07,,0
tess,1031.01,304021498,FP,5.652623,2459304.837939,3.434,1250.0,8.94354,2011.0,6415.4,3.98,1.92,,0
tess,1032.01,146589986,PC,5.6643704,2459283.828685,3.8087395,3491.8232968,14.7738943,2385.8536488,10395.0,4.13,2.3383701,,1
tess,1033.01,149601557,FP,29.0160175,2460195.100648,5.345,1389.0,6.77406,,6113.1,,2.01,,0
tess,1034.01,400595342,FP,3.6404389,2460768.617427,2.5339234,476.3077321,3.7025342,2783.098027,9810.0,4.43,1.60776,,0
tess,1035.01,361413119,PC,6.0744477,2459286.872605,2.4954821,5982.5212406,30.9493217,1583.9398898,5964.0,3.7,2.4303801,,1
tess,1036.01,146172354,PC,3.7795212,2460037.172273,2.952,2761.0,5.98375,1294.0,5771.0,4.31,1.18,,1
tess,1037.01,363260203,FP,1.2025238,2459331.124512,1.991,390.0,6.31106,5952.0,9158.0,4.32,1.74,,0
tess,1038.01,90544017,FP,3.2235985,2459273.371643,2.159,680.0,5.51341,,8904.0,4.09,2.17,,0
tess,1039.01,461867584,APC,4.420125,2460031.2166,3.956,2466.0,,,,,,,0
tess,104.01,231670397,KP,4.0872956,2460150.608677,5.586113,3572.1712499,13.6237732,1755.0767383,6036.0,3.93359,2.2186699,,1
tess,1040.01,310483807,FP,2.55555,2458520.65674,1.566,340.0,11.5901,2145.0,10037.0,,6.04,,0
tess,1041.01,385624852,FP,8.30792,2459261.801216,3.228,8350.0,43.1068,1924.0,9081.0,3.83,3.05,,0
tess,1042.01,360286627,PC,0.758082,2459281.337956,1.8184632,583.93181,10.1273702,5499.7476332,9917.0,3.75,3.5086601,,1
tess,1043.01,90448944,FP,1.4415577,2459985.770425,2.349,507.0,3.61078,3174.0,6902.0,4.25,1.52,,0
tess,1044.01,463402815,PC,1.0085089,2460037.194672,1.642,3051.0,,,5215.2,,,,1
tess,1045.01,54044474,FP,3.7039994,2459301.544126,4.277,7590.0,17.57,2149.0,7013.8,4.21,1.9,,0
tess,1046.01,309787037,FP,1.3042553,2460177.867195,1.706,914.0,9.36472,3569.0,6762.0,4.11,1.75,,0
tess,1047.01,370745311,FP,0.62627,2458544.79061,0.666,1880.0,5.72162,2101.0,5622.0,4.5,0.93,,0
tess,1048.01,384549882,FP,0.30412,2458518.376,0.748,1330.0,10.417,6413.0,11892.0,4.14,2.52,,0
tess,1126.01,405862830,FP,1.6268695,2460122.432108,3.231,1502.0,2.36498,1850.0,5034.0,4.64,0.73,,0
tess,1127.01,269450900,FP,2.32439,2458657.63073,4.453,2704.18,,4502.0,8268.5,3.93,,,0
tess,1128.01,425721385,FP,13.5499,2458663.15245,1.795,1180.0,6.24633,660.0,6209.0,4.09,1.63,,0
tess,1129.01,91576611,FP,4.43651,2458659.06927,3.365,1520.0,19.9664,2653.0,7101.9,3.91,2.32,,0
tess,113.01,97409519,KP,3.372877,2458327.053085,2.63426,17163.60419,14.201803,1270.187448,6050.0,4.45061,1.02,,1
tess,1130.01,254113311,CP,8.34998,2460144.137122,1.836,16680.0,11.1424,588.0,4236.0,4.52,0.74,,1
tess,1130.02,254113311,CP,4.0686405,2460126.924264,1.8373729,2650.0950013,3.7548333,772.378302,4236.0,4.52,0.741921,,1
tess,1131.01,198213332,PC,0.5860366,2458711.595435,0.8098934,410.5241553,4.906408,3263.6721812,5579.0,3.67,2.39803,,1
tess,1132.01,267489265,FP,1.5502952,2460351.800169,2.938,411.0,3.34528,2839.0,7851.0,4.17,1.86,,0
tess,1133.01,69997672,FP,1.80709,2458684.2349,3.297,450.0,4.86242,2569.0,6244.0,3.84,2.2,,0
tess,1134.01,122220263,FP,18.6922101,2460333.437983,7.765,11126.0,18.1458,1141.0,6277.0,4.09,1.65,,0
tess,1135.01,154872375,CP,8.0277326,2460658.97426,4.284,5705.0,9.06883,1106.0,5962.7,4.38,1.15,,1
tess,1136.01,142276270,CP,12.5187279,2459612.447691,5.38,2320.0,5.58857,1393.0,5729.0,4.47,0.98,,1
tess,1136.02,142276270,CP,6.2586065,2460366.026514,3.201,813.0,2.51593,1087.0,5729.0,4.47,0.98,,1
tess,1136.03,142276270,CP,26.3208756,2459594.183463,4.414,800.0,2.71349,631.0,5729.0,4.47,0.98,,1
tess,1136.04,142276270,CP,18.795547,2458697.755807,4.3425576,470.6731965,2.1597669,672.9826313,5729.0,4.47,0.977727,,1
tess,1137.01,89389197,PC,1.3206356,2459770.240602,1.6000996,1052.4255997,34.7561624,1982.7142102,4919.6,,6.3070302,,1
tess,1138.01,110428269,FP,0.64971,2458684.20504,2.076,620.0,6.23181,4731.0,9994.0,4.02,2.59,,0
tess,1079.01,379240073,PC,3.1644075,2458656.380357,2.0576293,5603.4635466,14.8814743,1747.9490013,6519.0,4.22068,1.7234,,1
tess,108.01,289793076,KP,3.0440541,2458328.08383,2.5984575,22236.0165376,12.1086799,1075.3184542,5523.0,4.52192,0.809868,,1
